        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 1.000000-5 3.842443+0 1.093100-5 3.842759+0 1.193400-5 3.843252+0
 1.287000-5 3.843576+0 1.386700-5 3.843584+0 1.480800-5 3.844246+0
 1.580100-5 3.844197+0 1.674400-5 3.844914+0 1.773400-5 3.844624+0
 1.958900-5 3.845472+0 2.160100-5 3.845398+0 2.346900-5 3.845662+0
 2.546900-5 3.846012+0 2.734500-5 3.846421+0 2.933600-5 3.846420+0
 3.122000-5 3.846591+0 3.320300-5 3.846855+0 3.501200-5 3.846993+0
 3.690200-5 3.847125+0 3.887600-5 3.847253+0 4.093700-5 3.847377+0
 4.466500-5 3.847578+0 4.867200-5 3.847668+0 5.242000-5 3.847926+0
 5.640600-5 3.848076+0 6.017000-5 3.848104+0 6.414100-5 3.848226+0
 6.791600-5 3.848333+0 7.187500-5 3.848535+0 7.929500-5 3.848706+0
 8.734300-5 3.848766+0 9.481500-5 3.848996+0 1.028100-4 3.849019+0
 1.103200-4 3.849223+0 1.182800-4 3.849321+0 1.258200-4 3.849306+0
 1.337500-4 3.849387+0 1.485500-4 3.849620+0 1.646900-4 3.849645+0
 1.796000-4 3.849845+0 1.956200-4 3.849839+0 2.106200-4 3.849918+0
 2.265600-4 3.850092+0 2.416200-4 3.850156+0 2.575000-4 3.850117+0
 2.719400-4 3.850167+0 2.870500-4 3.850216+0 3.193800-4 3.850309+0
 3.491700-4 3.850483+0 3.812500-4 3.850452+0 4.112200-4 3.850510+0
 4.431300-4 3.850664+0 4.732200-4 3.850711+0 5.050000-4 3.850755+0
 5.640500-4 3.850728+0 5.956700-4 3.850862+0 6.287500-4 3.850895+0
 6.883100-4 3.850848+0 7.525000-4 3.850898+0 8.124100-4 3.851040+0
 8.762500-4 3.850979+0 9.364200-4 3.851012+0 1.000000-3 3.851044+0
 1.091500-3 3.851085+0 1.189800-3 3.851124+0 1.281800-3 3.851256+0
 1.379700-3 3.851186+0 1.472100-3 3.851212+0 1.569500-3 3.851337+0
 1.759400-3 3.851280+0 1.941500-3 3.851314+0 2.139100-3 3.851347+0
 2.322500-3 3.851373+0 2.518800-3 3.851398+0 2.703000-3 3.851519+0
 3.083400-3 3.851456+0 3.278100-3 3.851472+0 3.641300-3 3.851499+0
 4.037500-3 3.851524+0 4.403600-3 3.851545+0 4.796900-3 3.851564+0
 5.556300-3 3.851595+0 6.315600-3 3.851620+0 7.803600-3 3.851658+0
 9.327400-3 3.851687+0 1.163100-2 3.851720+0 1.315000-2 3.851736+0
 1.618800-2 3.851762+0 1.922500-2 3.851782+0 2.374100-2 3.851804+0
 2.530000-2 3.851810+0 2.756000-2 3.851818+0 3.467000-2 3.851838+0
 3.935500-2 3.851848+0 4.853700-2 3.851863+0 5.793800-2 3.851874+0
 7.215100-2 3.851887+0 1.002600-1 3.851905+0 1.190000-1 3.851912+0
 1.468700-1 3.851921+0 1.656300-1 3.851926+0 2.127100-1 3.851934+0
 2.501900-1 3.851940+0 3.059300-1 3.851945+0 4.362500-1 3.851954+0
 5.114100-1 3.851958+0 6.250000-1 3.851962+0 7.469900-1 3.851965+0
 9.283100-1 3.851969+0 1.050500+0 3.851971+0 1.356900+0 3.851974+0
 1.600900+0 3.851976+0 1.963800+0 3.851978+0 2.203000+0 3.851980+0
 2.812000+0 3.851982+0 3.790300+0 3.851984+0 4.528800+0 3.851986+0
 5.976100+0 3.851988+0 6.954400+0 3.851989+0 8.432500+0 3.851990+0
 1.038400+1 3.851991+0 1.233600+1 3.851991+0 1.428800+1 3.851992+0
 1.810400+1 3.851993+0 2.014400+1 3.851993+0 2.795100+1 3.851994+0
 3.185500+1 3.851995+0 3.966300+1 3.851995+0 4.747000+1 3.851896+0
 6.308500+1 3.851896+0 7.870100+1 3.851897+0 9.431600+1 3.851797+0
 1.099300+2 3.851797+0 1.255500+2 3.851797+0 1.567800+2 3.851698+0
 1.880100+2 3.851598+0 2.192400+2 3.851598+0 2.504700+2 3.851498+0
 3.129300+2 3.851398+0 3.753900+2 3.851198+0 5.003100+2 3.850899+0
 6.252300+2 3.850699+0 7.501600+2 3.850399+0 8.750800+2 3.850099+0
 1.000000+3 3.849799+0 1.250000+3 3.849299+0 1.500000+3 3.848699+0
 2.000000+3 3.847599+0 2.500000+3 3.846499+0 3.000000+3 3.845399+0
 4.000000+3 3.843200+0 5.000000+3 3.841000+0 6.250000+3 3.838200+0
 7.500000+3 3.835500+0 8.750000+3 3.832700+0 1.000000+4 3.830000+0
 1.250000+4 3.824500+0 1.500000+4 3.819100+0 2.000000+4 3.808200+0
 2.500000+4 3.797400+0 3.000000+4 3.786700+0 4.000000+4 3.765400+0
 5.000000+4 3.744300+0 6.250000+4 3.718400+0 7.500000+4 3.693000+0
 8.750000+4 3.668100+0 1.000000+5 3.643700+0 1.250000+5 3.596700+0
 1.500000+5 3.552600+0 1.750000+5 3.512200+0 2.000000+5 3.477100+0
 2.200000+5 3.454200+0 2.400000+5 3.437900+0 2.600000+5 3.431400+0
 2.800000+5 3.439900+0 3.000000+5 3.472900+0 3.100000+5 3.503700+0
 3.200000+5 3.548700+0 3.300000+5 3.613200+0 3.400000+5 3.705600+0
 3.500000+5 3.839100+0 3.600000+5 4.035100+0 3.700000+5 4.330100+0
 3.800000+5 4.789100+0 3.900000+5 5.533500+0 4.000000+5 6.793900+0
 4.050000+5 7.738100+0 4.100000+5 8.978300+0 4.150000+5 1.056800+1
 4.200000+5 1.248200+1 4.250000+5 1.449100+1 4.300000+5 1.606300+1
 4.350000+5 1.655800+1 4.400000+5 1.576400+1 4.450000+5 1.410400+1
 4.500000+5 1.220500+1 4.550000+5 1.047000+1 4.600000+5 9.039200+0
 4.650000+5 7.909700+0 4.700000+5 7.031000+0 4.750000+5 6.346800+0
 4.800000+5 5.809800+0 4.850000+5 5.383500+0 4.900000+5 5.040900+0
 4.950000+5 4.762000+0 5.000000+5 4.532200+0 5.100000+5 4.179100+0
 5.200000+5 3.923400+0 5.300000+5 3.731400+0 5.400000+5 3.582500+0
 5.500000+5 3.463800+0 5.600000+5 3.367100+0 5.700000+5 3.286500+0
 5.800000+5 3.218200+0 5.900000+5 3.159400+0 6.000000+5 3.108100+0
 6.200000+5 3.022400+0 6.400000+5 2.953200+0 6.600000+5 2.895800+0
 6.800000+5 2.847700+0 7.000000+5 2.807200+0 7.200000+5 2.773800+0
 7.400000+5 2.747500+0 7.600000+5 2.729000+0 7.800000+5 2.719900+0
 8.000000+5 2.723000+0 8.200000+5 2.743000+0 8.400000+5 2.787700+0
 8.600000+5 2.870500+0 8.800000+5 3.014900+0 9.000000+5 3.264000+0
 9.100000+5 3.450600+0 9.200000+5 3.697600+0 9.300000+5 4.025200+0
 9.400000+5 4.458000+0 9.500000+5 5.021100+0 9.600000+5 5.727200+0
 9.700000+5 6.507986+0 9.800000+5 7.364100+0 9.900000+5 7.969900+0
 1.000000+6 8.154000+0 1.010000+6 7.870300+0 1.020000+6 7.267400+0
 1.030000+6 6.551300+0 1.040000+6 5.865300+0 1.050000+6 5.271200+0
 1.060000+6 4.780500+0 1.070000+6 4.382800+0 1.080000+6 4.061600+0
 1.090000+6 3.801300+0 1.100000+6 3.588600+0 1.110000+6 3.413839+0
 1.120000+6 3.267600+0 1.130000+6 3.144951+0 1.140000+6 3.042100+0
 1.150000+6 2.954713+0 1.160000+6 2.880000+0 1.170000+6 2.817276+0
 1.180000+6 2.764300+0 1.190000+6 2.721914+0 1.200000+6 2.688600+0
 1.210000+6 2.666830+0 1.220000+6 2.657900+0 1.230000+6 2.667401+0
 1.240000+6 2.698600+0 1.250000+6 2.768200+0 1.260000+6 2.898800+0
 1.270000+6 3.136800+0 1.280000+6 3.572600+0 1.285000+6 3.912400+0
 1.290000+6 4.365900+0 1.295000+6 4.947600+0 1.300000+6 5.628800+0
 1.305000+6 6.286900+0 1.310000+6 6.699600+0 1.315000+6 6.682000+0
 1.320000+6 6.266200+0 1.325000+6 5.655600+0 1.330000+6 5.038000+0
 1.340000+6 4.072800+0 1.350000+6 3.467600+0 1.360000+6 3.090400+0
 1.370000+6 2.844100+0 1.380000+6 2.674200+0 1.390000+6 2.550900+0
 1.400000+6 2.457300+0 1.450000+6 2.194100+0 1.500000+6 2.056900+0
 1.550000+6 1.961300+0 1.600000+6 1.890200+0 1.620000+6 1.880300+0
 1.630000+6 1.902400+0 1.640000+6 2.068300+0 1.642000+6 2.187600+0
 1.643000+6 2.283400+0 1.644000+6 2.421900+0 1.645000+6 2.630600+0
 1.646000+6 2.961500+0 1.647000+6 3.517500+0 1.648000+6 4.500500+0
 1.648500+6 5.250100+0 1.649000+6 6.213700+0 1.649500+6 7.339200+0
 1.650000+6 8.388900+0 1.650500+6 8.928200+0 1.651000+6 8.646400+0
 1.651500+6 7.715000+0 1.652000+6 6.579200+0 1.653000+6 4.733300+0
 1.654000+6 3.649300+0 1.655000+6 3.036800+0 1.656000+6 2.673700+0
 1.657000+6 2.445300+0 1.658000+6 2.293700+0 1.659000+6 2.188500+0
 1.660000+6 2.112500+0 1.665000+6 1.929100+0 1.670000+6 1.861100+0
 1.675000+6 1.826400+0 1.680000+6 1.804500+0 1.682000+6 1.797109+0
 1.684000+6 1.791370+0 1.685000+6 1.788800+0 1.686000+6 1.807018+0
 1.687000+6 1.854791+0 1.688000+6 1.913920+0 1.689000+6 1.964395+0
 1.690000+6 1.984300+0 1.691000+6 1.958873+0 1.692000+6 1.903361+0
 1.694000+6 1.787958+0 1.695000+6 1.765500+0 1.696000+6 1.763461+0
 1.698000+6 1.759507+0 1.700000+6 1.755900+0 1.720000+6 1.722800+0
 1.740000+6 1.692300+0 1.760000+6 1.660600+0 1.780000+6 1.624700+0
